title,short_description,price,category
Classic Blue Jeans,Comfortable blue denim jeans with a relaxed fit.,49.99,Jeans
Vintage Straight Jeans,Straight leg jeans in dark indigo wash for everyday wear.,59.0,Jeans
Stretch Skinny Jeans,Skinny-fit jeans with stretch fabric for mobility and comfort.,54.5,Jeans
Light Wash Mom Jeans,High-rise mom jeans in a light blue wash with tapered leg.,52.0,Jeans
Red Hoodie,Cozy red hoodie made from organic cotton.,39.99,Hoodies
Fleece Zip Hoodie,Warm fleece-lined zip-up hoodie with drawstring hood.,44.99,Hoodies
Oversized Black Hoodie,Oversized black hoodie with kangaroo pocket and ribbed cuffs.,42.0,Hoodies
Athletic Pullover Hoodie,Breathable pullover hoodie ideal for workouts and running.,46.0,Hoodies
Black Leather Jacket,Stylish black leather jacket with a slim fit design.,120.0,Jackets
Denim Trucker Jacket,Classic trucker jacket in mid-wash denim with button front.,79.0,Jackets
Waterproof Parka,Long waterproof parka with adjustable hood for rainy days.,149.0,Jackets
Lightweight Windbreaker,Packable windbreaker jacket ideal for travel and hikes.,69.5,Jackets
White Crewneck T-Shirt,Soft cotton crewneck tee in bright white.,15.0,T-Shirts
Graphic Tee Mountain,"Graphic t-shirt with mountain print, breathable cotton.",19.99,T-Shirts
Black V-Neck Tee,Lightweight black V-neck t-shirt with slim silhouette.,17.5,T-Shirts
Performance Running Tee,Moisture-wicking athletic t-shirt for training sessions.,24.0,T-Shirts
Navy Chino Shorts,Classic navy chino shorts with 7-inch inseam.,35.0,Shorts
Athletic Mesh Shorts,Breathable mesh shorts with elastic waistband for sports.,29.0,Shorts
Denim Cutoff Shorts,Casual cutoff denim shorts with frayed hem.,32.0,Shorts
Linen Blend Shorts,Lightweight linen-blend shorts perfect for hot weather.,38.0,Shorts
Cable Knit Sweater,Warm cable-knit sweater in cream wool blend.,65.0,Sweaters
Merino Wool Sweater,Fine-gauge merino sweater that regulates body temperature.,79.5,Sweaters
Quarter-Zip Sweater,Quarter-zip pullover sweater with stand collar.,72.0,Sweaters
Chunky Turtleneck,Chunky knit turtleneck sweater for cold days.,88.0,Sweaters
Floral Summer Dress,Lightweight floral print dress with flutter sleeves.,59.99,Dresses
Little Black Dress,Classic black sheath dress suitable for evening events.,89.0,Dresses
Shirt Dress,Button-down shirt dress in breathable cotton poplin.,69.0,Dresses
Wrap Midi Dress,Wrap-style midi dress that flatters the waist.,79.0,Dresses
Pleated Midi Skirt,Elegant pleated midi skirt with elastic waistband.,49.0,Skirts
Denim A-Line Skirt,A-line denim skirt with front buttons and pockets.,45.0,Skirts
Satin Slip Skirt,Flowy satin slip skirt that pairs with knit tops.,55.0,Skirts
Corduroy Mini Skirt,Textured corduroy mini skirt with back zip.,39.5,Skirts
Hiking Shell Jacket,Breathable waterproof hiking shell with sealed seams.,159.0,Jackets
Thermal Base Layer,Heat-retaining long-sleeve base layer top for winter.,29.99,Tops
Yoga Leggings,High-waisted stretch leggings for yoga and pilates.,34.99,Pants
Wool Blend Coat,Tailored wool-blend overcoat for formal wear.,199.0,Jackets
Puffer Jacket,Insulated puffer jacket with recycled fill for warmth.,129.0,Jackets
Rain Jacket,Lightweight rain jacket with water-repellent finish.,89.0,Jackets
Breathable Running Shorts,Featherweight running shorts with quick-dry liner.,33.0,Shorts
